concessionaria;mes_ano;sentido;praca;tipo_de_cobranca;categoria;tipo_de_veiculo;volume_total;multiplicador_de_tarifa;volume_veiculo_equivalente
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 2";"Comercial";57155,00;2,00;114310,00
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 4";"Comercial";39094,00;3,00;117282,00
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 6";"Comercial";19750,00;4,00;79000,00
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 7";"Comercial";15257,00;5,00;76285,00
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 8";"Comercial";15171,00;6,00;91026,00
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Outros";"Comercial";5294,00;6,00;31764,00
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 9";"Moto";21375,00;0,50;10687,50
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 1";"Passeio";756863,00;1,00;756863,00
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 3";"Passeio";1585,00;1,50;2377,50
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 5";"Passeio";300,00;2,00;600,00
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 2";"Comercial";58406,00;2,00;116812,00
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 4";"Comercial";41718,00;3,00;125154,00
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 6";"Comercial";20265,00;4,00;81060,00
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 7";"Comercial";14568,00;5,00;72840,00
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 8";"Comercial";14398,00;6,00;86388,00
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Crescente";"1 Sul (Mairiporã)";"N/I";"Outros";"Comercial";6432,00;6,00;38592,00
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 9";"Moto";21448,00;0,50;10724,00
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 1";"Passeio";855024,00;1,00;855024,00
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 3";"Passeio";1752,00;1,50;2628,00
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 5";"Passeio";491,00;2,00;982,00
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Crescente";"2 (Vargem)";"N/I";"Categoria 2";"Comercial";31067,00;2,00;62134,00
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Crescente";"2 (Vargem)";"N/I";"Categoria 4";"Comercial";32851,00;3,00;98553,00
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Crescente";"2 (Vargem)";"N/I";"Categoria 6";"Comercial";24210,00;4,00;96840,00
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Crescente";"2 (Vargem)";"N/I";"Categoria 7";"Comercial";16816,00;5,00;84080,00
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Crescente";"2 (Vargem)";"N/I";"Categoria 8";"Comercial";22946,00;6,00;137676,00
