concessionaria;mes_ano;sentido;praca;tipo_de_cobranca;categoria;tipo_de_veiculo;volume_total;multiplicador_de_tarifa;volume_veiculo_equivalente
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 2";"Comercial";53079,00;2,00;106158,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 4";"Comercial";57049,00;3,00;171147,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 6";"Comercial";9751,00;4,00;39004,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 7";"Comercial";25486,00;5,00;127430,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 8";"Comercial";23807,00;6,00;142842,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Outros";"Comercial";7911,00;6,00;47466,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 9";"Moto";21928,00;0,50;10964,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 1";"Passeio";730380,00;1,00;730380,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 3";"Passeio";1576,00;1,50;2364,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 5";"Passeio";99,00;2,00;198,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 2";"Comercial";56142,00;2,00;112284,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 4";"Comercial";58181,00;3,00;174543,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 6";"Comercial";10113,00;4,00;40452,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 7";"Comercial";27140,00;5,00;135700,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 8";"Comercial";23420,00;6,00;140520,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"1 Sul (Mairiporã)";"N/I";"Outros";"Comercial";6947,00;6,00;41682,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 9";"Moto";22040,00;0,50;11020,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 1";"Passeio";824012,00;1,00;824012,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 3";"Passeio";1593,00;1,50;2389,50
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 5";"Passeio";114,00;2,00;228,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"2 (Vargem)";"N/I";"Categoria 2";"Comercial";27868,00;2,00;55736,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"2 (Vargem)";"N/I";"Categoria 4";"Comercial";44792,00;3,00;134376,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"2 (Vargem)";"N/I";"Categoria 6";"Comercial";10993,00;4,00;43972,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"2 (Vargem)";"N/I";"Categoria 7";"Comercial";29378,00;5,00;146890,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"2 (Vargem)";"N/I";"Categoria 8";"Comercial";33239,00;6,00;199434,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"2 (Vargem)";"N/I";"Outros";"Comercial";10559,00;6,00;63354,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"2 (Vargem)";"N/I";"Categoria 9";"Moto";11854,00;0,50;5927,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"2 (Vargem)";"N/I";"Categoria 1";"Passeio";381086,00;1,00;381086,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"2 (Vargem)";"N/I";"Categoria 3";"Passeio";1441,00;1,50;2161,50
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"2 (Vargem)";"N/I";"Categoria 5";"Passeio";116,00;2,00;232,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Decrescente";"2 (Vargem)";"N/I";"Categoria 2";"Comercial";27863,00;2,00;55726,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Decrescente";"2 (Vargem)";"N/I";"Categoria 4";"Comercial";45320,00;3,00;135960,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Decrescente";"2 (Vargem)";"N/I";"Categoria 6";"Comercial";10381,00;4,00;41524,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Decrescente";"2 (Vargem)";"N/I";"Categoria 7";"Comercial";29578,00;5,00;147890,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Decrescente";"2 (Vargem)";"N/I";"Categoria 8";"Comercial";32087,00;6,00;192522,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Decrescente";"2 (Vargem)";"N/I";"Outros";"Comercial";10340,00;6,00;62040,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Decrescente";"2 (Vargem)";"N/I";"Categoria 9";"Moto";10893,00;0,50;5446,50
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Decrescente";"2 (Vargem)";"N/I";"Categoria 1";"Passeio";312087,00;1,00;312087,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Decrescente";"2 (Vargem)";"N/I";"Categoria 3";"Passeio";1198,00;1,50;1797,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Decrescente";"2 (Vargem)";"N/I";"Categoria 5";"Passeio";116,00;2,00;232,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"3 (Cambuí)";"N/I";"Categoria 2";"Comercial";23334,00;2,00;46668,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"3 (Cambuí)";"N/I";"Categoria 4";"Comercial";40451,00;3,00;121353,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"3 (Cambuí)";"N/I";"Categoria 6";"Comercial";9706,00;4,00;38824,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"3 (Cambuí)";"N/I";"Categoria 7";"Comercial";26555,00;5,00;132775,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"3 (Cambuí)";"N/I";"Categoria 8";"Comercial";32009,00;6,00;192054,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"3 (Cambuí)";"N/I";"Outros";"Comercial";10709,00;6,00;64254,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"3 (Cambuí)";"N/I";"Categoria 9";"Moto";6906,00;0,50;3453,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"3 (Cambuí)";"N/I";"Categoria 1";"Passeio";268527,00;1,00;268527,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"3 (Cambuí)";"N/I";"Categoria 3";"Passeio";1189,00;1,50;1783,50
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Crescente";"3 (Cambuí)";"N/I";"Categoria 5";"Passeio";93,00;2,00;186,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Decrescente";"3 (Cambuí)";"N/I";"Categoria 2";"Comercial";23553,00;2,00;47106,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Decrescente";"3 (Cambuí)";"N/I";"Categoria 4";"Comercial";40871,00;3,00;122613,00
"AUTOPISTA FERNÃO DIAS";"01/01/2014";"Decrescente";"3 (Cambuí)";"N/I";"Categoria 6";"Comercial";9467,00;4,00;37868,00
