concessionaria;mes_ano;sentido;praca;tipo_de_cobranca;categoria;tipo_de_veiculo;volume_total;multiplicador_de_tarifa;volume_veiculo_equivalente
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 2";"Comercial";48044,00;2,00;96088,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 4";"Comercial";50825,00;3,00;152475,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 6";"Comercial";7232,00;4,00;28928,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 7";"Comercial";30421,00;5,00;152105,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 8";"Comercial";19499,00;6,00;116994,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Outros";"Comercial";7992,00;6,00;47952,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 9";"Moto";19864,00;0,50;9932,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 1";"Passeio";626067,00;1,00;626067,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 3";"Passeio";1153,00;1,50;1729,50
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 5";"Passeio";79,00;2,00;158,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 2";"Comercial";49524,00;2,00;99048,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 4";"Comercial";50362,00;3,00;151086,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 6";"Comercial";8199,00;4,00;32796,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 7";"Comercial";29520,00;5,00;147600,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 8";"Comercial";18698,00;6,00;112188,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"1 Sul (Mairiporã)";"N/I";"Outros";"Comercial";8095,00;6,00;48570,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 9";"Moto";21147,00;0,50;10573,50
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 1";"Passeio";709852,00;1,00;709852,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 3";"Passeio";1367,00;1,50;2050,50
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 5";"Passeio";98,00;2,00;196,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"2 (Vargem)";"N/I";"Categoria 2";"Comercial";24293,00;2,00;48586,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"2 (Vargem)";"N/I";"Categoria 4";"Comercial";43131,00;3,00;129393,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"2 (Vargem)";"N/I";"Categoria 6";"Comercial";8877,00;4,00;35508,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"2 (Vargem)";"N/I";"Categoria 7";"Comercial";32229,00;5,00;161145,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"2 (Vargem)";"N/I";"Categoria 8";"Comercial";23833,00;6,00;142998,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"2 (Vargem)";"N/I";"Outros";"Comercial";10775,00;6,00;64650,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"2 (Vargem)";"N/I";"Categoria 9";"Moto";10475,00;0,50;5237,50
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"2 (Vargem)";"N/I";"Categoria 1";"Passeio";309083,00;1,00;309083,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"2 (Vargem)";"N/I";"Categoria 3";"Passeio";1070,00;1,50;1605,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"2 (Vargem)";"N/I";"Categoria 5";"Passeio";72,00;2,00;144,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Decrescente";"2 (Vargem)";"N/I";"Categoria 2";"Comercial";24808,00;2,00;49616,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Decrescente";"2 (Vargem)";"N/I";"Categoria 4";"Comercial";44286,00;3,00;132858,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Decrescente";"2 (Vargem)";"N/I";"Categoria 6";"Comercial";8845,00;4,00;35380,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Decrescente";"2 (Vargem)";"N/I";"Categoria 7";"Comercial";32614,00;5,00;163070,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Decrescente";"2 (Vargem)";"N/I";"Categoria 8";"Comercial";23261,00;6,00;139566,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Decrescente";"2 (Vargem)";"N/I";"Outros";"Comercial";10918,00;6,00;65508,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Decrescente";"2 (Vargem)";"N/I";"Categoria 9";"Moto";9526,00;0,50;4763,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Decrescente";"2 (Vargem)";"N/I";"Categoria 1";"Passeio";251505,00;1,00;251505,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Decrescente";"2 (Vargem)";"N/I";"Categoria 3";"Passeio";897,00;1,50;1345,50
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Decrescente";"2 (Vargem)";"N/I";"Categoria 5";"Passeio";66,00;2,00;132,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"3 (Cambuí)";"N/I";"Categoria 2";"Comercial";20963,00;2,00;41926,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"3 (Cambuí)";"N/I";"Categoria 4";"Comercial";40041,00;3,00;120123,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"3 (Cambuí)";"N/I";"Categoria 6";"Comercial";7661,00;4,00;30644,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"3 (Cambuí)";"N/I";"Categoria 7";"Comercial";29627,00;5,00;148135,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"3 (Cambuí)";"N/I";"Categoria 8";"Comercial";22611,00;6,00;135666,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"3 (Cambuí)";"N/I";"Outros";"Comercial";11437,00;6,00;68622,00
"AUTOPISTA FERNÃO DIAS";"01/01/2011";"Crescente";"3 (Cambuí)";"N/I";"Categoria 9";"Moto";6613,00;0,50;3306,50
