concessionaria;mes_ano;sentido;praca;tipo_de_cobranca;categoria;tipo_de_veiculo;volume_total;multiplicador_de_tarifa;volume_veiculo_equivalente
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 2";"Comercial";63264,00;2,00;126528,00
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 4";"Comercial";37520,00;3,00;112560,00
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 6";"Comercial";20133,00;4,00;80532,00
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 7";"Comercial";14940,00;5,00;74700,00
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 8";"Comercial";22462,00;6,00;134772,00
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Outros";"Comercial";11590,00;6,00;69540,00
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 9";"Moto";23311,00;0,50;11655,50
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 1";"Passeio";778987,00;1,00;778987,00
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 3";"Passeio";1728,00;1,50;2592,00
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 5";"Passeio";220,00;2,00;440,00
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 2";"Comercial";64605,00;2,00;129210,00
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 4";"Comercial";40705,00;3,00;122115,00
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 6";"Comercial";21230,00;4,00;84920,00
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 7";"Comercial";14147,00;5,00;70735,00
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 8";"Comercial";24286,00;6,00;145716,00
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"1 Sul (Mairiporã)";"N/I";"Outros";"Comercial";15943,00;6,00;95658,00
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 9";"Moto";25635,00;0,50;12817,50
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 1";"Passeio";900968,00;1,00;900968,00
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 3";"Passeio";1950,00;1,50;2925,00
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 5";"Passeio";202,00;2,00;404,00
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"2 (Vargem)";"N/I";"Categoria 2";"Comercial";39547,00;2,00;79094,00
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"2 (Vargem)";"N/I";"Categoria 4";"Comercial";36319,00;3,00;108957,00
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"2 (Vargem)";"N/I";"Categoria 6";"Comercial";28153,00;4,00;112612,00
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"2 (Vargem)";"N/I";"Categoria 7";"Comercial";19006,00;5,00;95030,00
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"2 (Vargem)";"N/I";"Categoria 8";"Comercial";38916,00;6,00;233496,00
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"2 (Vargem)";"N/I";"Outros";"Comercial";21811,00;6,00;130866,00
