concessionaria;mes_ano;sentido;praca;tipo_de_cobranca;categoria;tipo_de_veiculo;volume_total;multiplicador_de_tarifa;volume_veiculo_equivalente
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"2 (Vargem)";"N/I";"Categoria 2";"Comercial";24788,00;2,00;49576,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"2 (Vargem)";"N/I";"Categoria 4";"Comercial";43233,00;3,00;129699,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"2 (Vargem)";"N/I";"Categoria 6";"Comercial";7635,00;4,00;30540,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"2 (Vargem)";"N/I";"Categoria 7";"Comercial";32268,00;5,00;161340,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"2 (Vargem)";"N/I";"Categoria 8";"Comercial";14133,00;6,00;84798,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"2 (Vargem)";"N/I";"Outros";"Comercial";10692,00;6,00;64152,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"2 (Vargem)";"N/I";"Categoria 9";"Moto";8873,00;0,50;4436,50
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"2 (Vargem)";"N/I";"Categoria 1";"Passeio";277638,00;1,00;277638,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"2 (Vargem)";"N/I";"Categoria 3";"Passeio";703,00;1,50;1054,50
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"2 (Vargem)";"N/I";"Categoria 5";"Passeio";61,00;2,00;122,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Decrescente";"2 (Vargem)";"N/I";"Categoria 2";"Comercial";22701,00;2,00;45402,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Decrescente";"2 (Vargem)";"N/I";"Categoria 4";"Comercial";39718,00;3,00;119154,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Decrescente";"2 (Vargem)";"N/I";"Categoria 6";"Comercial";7047,00;4,00;28188,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Decrescente";"2 (Vargem)";"N/I";"Categoria 7";"Comercial";29989,00;5,00;149945,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Decrescente";"2 (Vargem)";"N/I";"Categoria 8";"Comercial";13618,00;6,00;81708,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Decrescente";"2 (Vargem)";"N/I";"Outros";"Comercial";9193,00;6,00;55158,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Decrescente";"2 (Vargem)";"N/I";"Categoria 9";"Moto";7679,00;0,50;3839,50
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Decrescente";"2 (Vargem)";"N/I";"Categoria 1";"Passeio";237605,00;1,00;237605,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Decrescente";"2 (Vargem)";"N/I";"Categoria 3";"Passeio";613,00;1,50;919,50
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Decrescente";"2 (Vargem)";"N/I";"Categoria 5";"Passeio";57,00;2,00;114,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"3 (Cambuí)";"N/I";"Categoria 2";"Comercial";22473,00;2,00;44946,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"3 (Cambuí)";"N/I";"Categoria 4";"Comercial";41586,00;3,00;124758,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"3 (Cambuí)";"N/I";"Categoria 6";"Comercial";6882,00;4,00;27528,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"3 (Cambuí)";"N/I";"Categoria 7";"Comercial";30492,00;5,00;152460,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"3 (Cambuí)";"N/I";"Categoria 8";"Comercial";13330,00;6,00;79980,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"3 (Cambuí)";"N/I";"Outros";"Comercial";11115,00;6,00;66690,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"3 (Cambuí)";"N/I";"Categoria 9";"Moto";6981,00;0,50;3490,50
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"3 (Cambuí)";"N/I";"Categoria 1";"Passeio";201899,00;1,00;201899,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"3 (Cambuí)";"N/I";"Categoria 3";"Passeio";612,00;1,50;918,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"3 (Cambuí)";"N/I";"Categoria 5";"Passeio";50,00;2,00;100,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Decrescente";"3 (Cambuí)";"N/I";"Categoria 2";"Comercial";20315,00;2,00;40630,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Decrescente";"3 (Cambuí)";"N/I";"Categoria 4";"Comercial";37738,00;3,00;113214,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Decrescente";"3 (Cambuí)";"N/I";"Categoria 6";"Comercial";6292,00;4,00;25168,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Decrescente";"3 (Cambuí)";"N/I";"Categoria 7";"Comercial";27974,00;5,00;139870,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Decrescente";"3 (Cambuí)";"N/I";"Categoria 8";"Comercial";10835,00;6,00;65010,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Decrescente";"3 (Cambuí)";"N/I";"Outros";"Comercial";11332,00;6,00;67992,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Decrescente";"3 (Cambuí)";"N/I";"Categoria 9";"Moto";5968,00;0,50;2984,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Decrescente";"3 (Cambuí)";"N/I";"Categoria 1";"Passeio";170555,00;1,00;170555,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Decrescente";"3 (Cambuí)";"N/I";"Categoria 3";"Passeio";529,00;1,50;793,50
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Decrescente";"3 (Cambuí)";"N/I";"Categoria 5";"Passeio";45,00;2,00;90,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 2";"Comercial";18250,00;2,00;36500,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 4";"Comercial";42708,00;3,00;128124,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 6";"Comercial";6743,00;4,00;26972,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 7";"Comercial";30230,00;5,00;151150,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 8";"Comercial";14273,00;6,00;85638,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"4 (São Gonçalo)";"N/I";"Outros";"Comercial";12195,00;6,00;73170,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 9";"Moto";2834,00;0,50;1417,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 1";"Passeio";146618,00;1,00;146618,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 3";"Passeio";598,00;1,50;897,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 5";"Passeio";60,00;2,00;120,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Decrescente";"4 (São Gonçalo)";"N/I";"Categoria 2";"Comercial";17811,00;2,00;35622,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Decrescente";"4 (São Gonçalo)";"N/I";"Categoria 4";"Comercial";41673,00;3,00;125019,00
"AUTOPISTA FERNÃO DIAS";"01/01/2010";"Decrescente";"4 (São Gonçalo)";"N/I";"Categoria 6";"Comercial";6676,00;4,00;26704,00
