concessionaria;mes_ano;sentido;praca;tipo_de_cobranca;categoria;tipo_de_veiculo;volume_total;multiplicador_de_tarifa;volume_veiculo_equivalente
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 2";"Comercial";58355,00;2,00;116710,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 4";"Comercial";40536,00;3,00;121608,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 6";"Comercial";20849,00;4,00;83396,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 7";"Comercial";16048,00;5,00;80240,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 8";"Comercial";16112,00;6,00;96672,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Outros";"Comercial";5614,00;6,00;33684,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 9";"Moto";21328,00;0,50;10664,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 1";"Passeio";737630,00;1,00;737630,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 3";"Passeio";1643,00;1,50;2464,50
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 5";"Passeio";205,00;2,00;410,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 2";"Comercial";59548,00;2,00;119096,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 4";"Comercial";43004,00;3,00;129012,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 6";"Comercial";22449,00;4,00;89796,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 7";"Comercial";15289,00;5,00;76445,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 8";"Comercial";15287,00;6,00;91722,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"1 Sul (Mairiporã)";"N/I";"Outros";"Comercial";6892,00;6,00;41352,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 9";"Moto";22740,00;0,50;11370,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 1";"Passeio";854929,00;1,00;854929,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 3";"Passeio";1811,00;1,50;2716,50
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 5";"Passeio";183,00;2,00;366,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"2 (Vargem)";"N/I";"Categoria 2";"Comercial";33537,00;2,00;67074,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"2 (Vargem)";"N/I";"Categoria 4";"Comercial";35818,00;3,00;107454,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"2 (Vargem)";"N/I";"Categoria 6";"Comercial";26719,00;4,00;106876,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"2 (Vargem)";"N/I";"Categoria 7";"Comercial";17963,00;5,00;89815,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"2 (Vargem)";"N/I";"Categoria 8";"Comercial";24585,00;6,00;147510,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"2 (Vargem)";"N/I";"Outros";"Comercial";9751,00;6,00;58506,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"2 (Vargem)";"N/I";"Categoria 9";"Moto";9554,00;0,50;4777,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"2 (Vargem)";"N/I";"Categoria 1";"Passeio";406142,00;1,00;406142,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"2 (Vargem)";"N/I";"Categoria 3";"Passeio";1348,00;1,50;2022,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"2 (Vargem)";"N/I";"Categoria 5";"Passeio";184,00;2,00;368,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"2 (Vargem)";"N/I";"Categoria 2";"Comercial";32192,00;2,00;64384,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"2 (Vargem)";"N/I";"Categoria 4";"Comercial";37067,00;3,00;111201,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"2 (Vargem)";"N/I";"Categoria 6";"Comercial";23878,00;4,00;95512,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"2 (Vargem)";"N/I";"Categoria 7";"Comercial";21522,00;5,00;107610,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"2 (Vargem)";"N/I";"Categoria 8";"Comercial";25613,00;6,00;153678,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"2 (Vargem)";"N/I";"Outros";"Comercial";8344,00;6,00;50064,00
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"2 (Vargem)";"N/I";"Categoria 9";"Moto";8747,00;0,50;4373,50
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"2 (Vargem)";"N/I";"Categoria 1";"Passeio";329854,00;1,00;329854,00
