concessionaria;mes_ano;sentido;praca;tipo_de_cobranca;categoria;tipo_de_veiculo;volume_total;multiplicador_de_tarifa;volume_veiculo_equivalente
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"2 (Vargem)";"N/I";"Categoria 8";"Comercial";31298,00;6,00;187788,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"2 (Vargem)";"N/I";"Outros";"Comercial";10002,00;6,00;60012,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"2 (Vargem)";"N/I";"Categoria 9";"Moto";9775,00;0,50;4887,50
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"2 (Vargem)";"N/I";"Categoria 1";"Passeio";291197,00;1,00;291197,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"2 (Vargem)";"N/I";"Categoria 3";"Passeio";1050,00;1,50;1575,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"2 (Vargem)";"N/I";"Categoria 5";"Passeio";85,00;2,00;170,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"3 (Cambuí)";"N/I";"Categoria 2";"Comercial";23981,00;2,00;47962,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"3 (Cambuí)";"N/I";"Categoria 4";"Comercial";42926,00;3,00;128778,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"3 (Cambuí)";"N/I";"Categoria 6";"Comercial";11767,00;4,00;47068,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"3 (Cambuí)";"N/I";"Categoria 7";"Comercial";29264,00;5,00;146320,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"3 (Cambuí)";"N/I";"Categoria 8";"Comercial";30131,00;6,00;180786,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"3 (Cambuí)";"N/I";"Outros";"Comercial";10729,00;6,00;64374,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"3 (Cambuí)";"N/I";"Categoria 9";"Moto";5710,00;0,50;2855,00
