concessionaria;mes_ano;sentido;praca;tipo_de_cobranca;categoria;tipo_de_veiculo;volume_total;multiplicador_de_tarifa;volume_veiculo_equivalente
"AUTOPISTA FERNÃO DIAS";"01/01/2012";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 2";"Comercial";51170,00;2,00;102340,00
"AUTOPISTA FERNÃO DIAS";"01/01/2012";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 4";"Comercial";53266,00;3,00;159798,00
"AUTOPISTA FERNÃO DIAS";"01/01/2012";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 6";"Comercial";7825,00;4,00;31300,00
"AUTOPISTA FERNÃO DIAS";"01/01/2012";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 7";"Comercial";29125,00;5,00;145625,00
"AUTOPISTA FERNÃO DIAS";"01/01/2012";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 8";"Comercial";21309,00;6,00;127854,00
"AUTOPISTA FERNÃO DIAS";"01/01/2012";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Outros";"Comercial";8084,00;6,00;48504,00
"AUTOPISTA FERNÃO DIAS";"01/01/2012";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 9";"Moto";18041,00;0,50;9020,50
"AUTOPISTA FERNÃO DIAS";"01/01/2012";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 1";"Passeio";663894,00;1,00;663894,00
"AUTOPISTA FERNÃO DIAS";"01/01/2012";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 3";"Passeio";1249,00;1,50;1873,50
"AUTOPISTA FERNÃO DIAS";"01/01/2012";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 5";"Passeio";76,00;2,00;152,00
"AUTOPISTA FERNÃO DIAS";"01/01/2012";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 2";"Comercial";52717,00;2,00;105434,00
"AUTOPISTA FERNÃO DIAS";"01/01/2012";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 4";"Comercial";52327,00;3,00;156981,00
"AUTOPISTA FERNÃO DIAS";"01/01/2012";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 6";"Comercial";8251,00;4,00;33004,00
"AUTOPISTA FERNÃO DIAS";"01/01/2012";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 7";"Comercial";28113,00;5,00;140565,00
"AUTOPISTA FERNÃO DIAS";"01/01/2012";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 8";"Comercial";20651,00;6,00;123906,00
"AUTOPISTA FERNÃO DIAS";"01/01/2012";"Crescente";"1 Sul (Mairiporã)";"N/I";"Outros";"Comercial";8147,00;6,00;48882,00
