concessionaria;mes_ano;sentido;praca;tipo_de_cobranca;categoria;tipo_de_veiculo;volume_total;multiplicador_de_tarifa;volume_veiculo_equivalente
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 2";"Comercial";57311,00;2,00;114622,00
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 4";"Comercial";39500,00;3,00;118500,00
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 6";"Comercial";20519,00;4,00;82076,00
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 7";"Comercial";14830,00;5,00;74150,00
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 8";"Comercial";14273,00;6,00;85638,00
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Outros";"Comercial";4256,00;6,00;25536,00
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 9";"Moto";22163,00;0,50;11081,50
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 1";"Passeio";781611,00;1,00;781611,00
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 3";"Passeio";1577,00;1,50;2365,50
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 5";"Passeio";391,00;2,00;782,00
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 2";"Comercial";56902,00;2,00;113804,00
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 4";"Comercial";40829,00;3,00;122487,00
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 6";"Comercial";19238,00;4,00;76952,00
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 7";"Comercial";13940,00;5,00;69700,00
