concessionaria;mes_ano;sentido;praca;tipo_de_cobranca;categoria;tipo_de_veiculo;volume_total;multiplicador_de_tarifa;volume_veiculo_equivalente
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 2";"Comercial";63638,00;2,00;127276,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 4";"Comercial";38134,00;3,00;114402,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 6";"Comercial";21022,00;4,00;84088,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 7";"Comercial";14754,00;5,00;73770,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 8";"Comercial";21374,00;6,00;128244,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Outros";"Comercial";5839,00;6,00;35034,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 9";"Moto";24434,00;0,50;12217,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 1";"Passeio";789942,00;1,00;789942,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 3";"Passeio";2021,00;1,50;3031,50
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 5";"Passeio";223,00;2,00;446,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 2";"Comercial";63444,00;2,00;126888,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 4";"Comercial";41779,00;3,00;125337,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 6";"Comercial";21718,00;4,00;86872,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 7";"Comercial";13932,00;5,00;69660,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 8";"Comercial";22902,00;6,00;137412,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"1 Sul (Mairiporã)";"N/I";"Outros";"Comercial";7517,00;6,00;45102,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 9";"Moto";26369,00;0,50;13184,50
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 1";"Passeio";902347,00;1,00;902347,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 3";"Passeio";2179,00;1,50;3268,50
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 5";"Passeio";218,00;2,00;436,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"2 (Vargem)";"N/I";"Categoria 2";"Comercial";36622,00;2,00;73244,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"2 (Vargem)";"N/I";"Categoria 4";"Comercial";35544,00;3,00;106632,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"2 (Vargem)";"N/I";"Categoria 6";"Comercial";27996,00;4,00;111984,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"2 (Vargem)";"N/I";"Categoria 7";"Comercial";18124,00;5,00;90620,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"2 (Vargem)";"N/I";"Categoria 8";"Comercial";37826,00;6,00;226956,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"2 (Vargem)";"N/I";"Outros";"Comercial";11916,00;6,00;71496,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"2 (Vargem)";"N/I";"Categoria 9";"Moto";11730,00;0,50;5865,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"2 (Vargem)";"N/I";"Categoria 1";"Passeio";427598,00;1,00;427598,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"2 (Vargem)";"N/I";"Categoria 3";"Passeio";1529,00;1,50;2293,50
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"2 (Vargem)";"N/I";"Categoria 5";"Passeio";208,00;2,00;416,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Decrescente";"2 (Vargem)";"N/I";"Categoria 2";"Comercial";35085,00;2,00;70170,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Decrescente";"2 (Vargem)";"N/I";"Categoria 4";"Comercial";37074,00;3,00;111222,00
